title,description,url,publishedAt
Lawsuit over deadly Maui wildfires in 2023 settled for $4bn - The Guardian US,,https://news.google.com/rss/articles/CBMijgFBVV95cUxQcEt2a0U0dGVqWFZnamZIVHNic1NNX1Q2MTg3OUdEQV9lRWpPYVhyU29vUGdhMUxPMjl2TjVxRFZUQ05LZXppNDJTeXZ2VEtaWkFSbUZNV3o0c0FxYkhaeTIyS0NlbEpHUVpvSFpqS1RyLWFGZDVzTEhCRk5nVTVRYnN4RU5sa2Vrbk53YVR30gGOAUFVX3lxTFBsd1gzRjJRY3FXY1hUUTVVV2g2YjFmbkZ3OFFYVWt5QWpLMnhrdnFaZGtHRlNxLXUwbWMwZ0g5MThjN01scjV4ZWx4Unk5c2txZzNGWUtTcXl3YkxJbVZ4bWc5aFNaeG11dU80ZWN3QXc5blg1UkZjUkx2NWZRcThZbU1HNnJBRzlzRG5Fanc?oc=5,2024-08-03T20:25:00Z
Olympics live updates: Katie Ledecky wins 800-meter freestyle swimming gold - The Associated Press,"U.S. swimmer Katie Ledecky won the women’s 800-meter freestyle in the 2024 Paris Games, earning her ninth Olympic gold medal.",https://apnews.com/live/olympics-schedule-medals-updates,2024-08-03T20:25:00Z
"Florida deputy killed, 2 deputies wounded in shooting, authorities say: ""They were ambushed"" - CBS News","The three deputies were shot at a house in Eustis, Florida, on Friday night, said Lake County Sheriff Peyton Grinnell.",https://www.cbsnews.com/news/florida-deputy-killed-2-other-deputies-wounded-in-shooting-authorities-say-they-were-ambushed/,2024-08-03T20:06:01Z
"After emotional family reunions, the 3 Americans freed in a historic prisoner swap face a challenging road ahead - CNN",,https://news.google.com/rss/articles/CBMihgFBVV95cUxNcEl5WVJDSVZrWVNKa0o1bXpOV3FoV0RYcWdKcllxVlM1RUxaVEh3UmRPY3FpTUdwei1uWmJ0WlZXeWtfUU9FSDJFbEtPekdZY3V4RHkzckhld2U5SkpVRUNPSGZaeDQxa0dMZXhNU29rN1R4WG8xYlpQNUJPZDFNakpaM3EwUdIBfEFVX3lxTE9KQU9uUVhXUkFQczNGNEd3SWFOU0RKMTl6WEl0eUlYcW9qTEQ4Zm1QeW43bXpuZ3ROMTRRRGZxNi0wSnk1TWtTMVNSb0xTX0FSWURmRXR5NjY0RjlBMnVBRlZ6R0xTeHVSaDlJMEpfcEVOOXNtRkk2Z2RXanY?oc=5,2024-08-03T19:43:00Z
Cardi B flaunts her baby bump in a sports bra after confirming Offset is child’s father amid divorce - Page Six,The Grammy winner treated herself to a luxury shopping spree in New York’s Diamond District.,https://pagesix.com/2024/08/03/parents/pregnant-cardi-b-flaunts-her-baby-bump-in-a-sports-bra/,2024-08-03T19:41:00Z
Free on National Chocolate Chip Cookie Day: Here's how to get your own delicious treat - Fox Business,A hotel chain is offering free chocolate chip cookies on National Chocolate Chip Cookie Day. Find out how to snag a free dessert that's sweet and gooey — and to make it at home.,https://www.foxbusiness.com/fox-news-food-drink/free-national-chocolate-chip-cookie-day-get-delicious-treat,2024-08-03T19:34:00Z
"SummerSlam results, live match coverage - Cageside Seats","Get complete results and live coverage of every match on tonight’s event from Cleveland, featuring Cody Rhodes vs. Solo Sikoa, Punk vs. McIntyre, and more!",https://www.cagesideseats.com/wwe/2024/8/3/24212310/wwe-summerslam-2024-results-live-streaming-match-coverage-solo-sikoa-cody-rhodes-cm-punk-mcintyre,2024-08-03T19:30:00Z
Some activists step up criticism of Shapiro and Kelly as Harris closes in on naming a running mate - The Associated Press,,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQcks3LXZXaXhzV3pPa21SODl0RzNBWU5Pb0ZzUGxhemV5OGtpUk1NUHI0MkthMVpRQU1HUE4zbTZza3lwYmJlb2ZrS3lGX0pmd3BwcjJEOU11Q0EzTDE3bkpLQlc2Q2ZiR0VFc1YzcGloU3Uyc1Z1c24wWlBycFZneHdjdnJVYTNjaENzbDVIOThpNTRueXNIVmluRUx0MDNpMUdJM3FXNzc?oc=5,2024-08-03T19:06:00Z
"Source: Fins, Hill reach restructured $90M deal - ESPN",,https://news.google.com/rss/articles/CBMipAFBVV95cUxPMVBNcTNSNzVCR3RvcVlUNVViMGk5Z1NhbFdWN0dJOTJKNmZ2cHppeHd2ZWRrOUZJaDlQX0UwdnVQOGRoejNVWThfOEhjTW9GRXhaYnJsQjJoaXc5NVFWUGM5aUkwQXZkUzFIajNJQWFYNlJFOEcyU1VtMDdmTUtNZnF2YUJEaDQyb016T2l6NkEzemV5OGxjdXJaZlo3RGNOWVhfbQ?oc=5,2024-08-03T18:19:00Z
Box Office: ‘Deadpool & Wolverine’ Enjoying Marvel-Ous Second Weekend With Record-Making $94M-Plus - Hollywood Reporter,,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNbjR2LUhsZGRFMjdVR1lFUF9FaFBNZnMtNFE0MnNVZ3JZRmwyUXF5U1JfY1ZmcllVVjFucUZaeFh2T1drdzBJZEo1c3cxZUMzdDl5aHVnVHNHbVRlSDVacGEtSUV5ODRuMkFndml5UXhKY0xxeFFJbENLYVpDcHIwS2dmMVp6dkFuVUhrOFBLUFFfcXRhc3FhOEtCVHZZN182MUV6WWNsMEVOWXVhcTd5WTJKX0dDQy1YdVlN0gHAAUFVX3lxTFBWSlJXQVhSNmRCR0xkS3hOeS10MTcxTzJxQkFydGw1OVFfU0VicVB1UVEzaVZiT2xSUW1Ea2szSUs3ME9jN3JGc3N6bGhpYzJUTE5JSzNqZ2NhT05WSUgwdjU2Y2FkS29LWkJfNlNVT2IyQ1ptVTBmTnVkY1J4dGpVZk51SndrSkR4ZUtnazVfdjBUNzdIVVl6WFUwRnd6dHlKY1dQSk1PT2t0bVdtT1VCZHNicnkxSTFWaEZzUFAwTA?oc=5,2024-08-03T17:21:42Z
